rcept_no,reprt_code,bsns_year,corp_code,stock_code,thstrm_amount_연결재무제표_재무상태표_유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자산총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_부채총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_이익잉여금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본총계_2022.12.31 현재,thstrm_amount_연결재무제표_손익계산서_매출액_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_영업이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_법인세차감전 순이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_당기순이익_2022.01.01 ~ 2022.12.31
20230315000452,11011,2022,146649,15860,"891,510,804,843","694,603,714,341","1,586,114,519,184","463,109,692,059","215,117,928,368","678,227,620,427","49,852,615,000","240,613,834,598","907,886,898,757","1,433,888,289,336","44,921,597,875","36,038,036,470","28,691,536,536"
20230320000668,11011,2022,1070149,244460,"13,873,690,848","11,067,970,465","24,941,661,313","12,041,371,154","3,674,170,933","15,715,542,087","15,510,887,500","-224,481,121,351","9,226,119,226","2,296,028,350","-24,129,944,288","-24,752,092,743","-24,752,092,743"
20230323000741,11011,2022,601191,299030,"110,297,632,963","121,945,897,849","232,243,530,812","78,628,899,901","80,973,040,759","159,601,940,660","3,740,802,500","-16,999,914,799","72,641,590,152","113,857,990,967","11,190,639,902","-236,581,301","1,507,374,117"
20230316001425,11011,2022,148443,2620,"352,916,443,850","512,760,568,326","865,677,012,176","358,504,740,294","87,379,812,257","445,884,552,551","7,986,677,500","98,244,587,827","419,792,459,625","792,964,733,258","-7,547,961,141","-83,860,626,307","-83,145,006,102"
20230322001114,11011,2022,1318261,299170,"41,085,551,254","16,379,102,254","57,464,653,508","17,503,261,867","1,877,061,097","19,380,322,964","3,002,796,300","20,579,991,911","38,084,330,544","27,128,845,288","3,684,173,156","5,592,188,897","4,313,954,359"
20230320000480,11011,2022,107066,1260,"263,129,339,480","82,793,544,893","345,922,884,373","216,082,621,341","22,838,185,000","238,920,806,341","49,145,070,000","73,861,176,895","107,002,078,032","450,379,452,331","11,115,819,532","15,758,164,576","19,332,575,729"
20230321001336,11011,2022,399694,67160,"370,259,685,206","94,865,785,581","465,125,470,787","217,402,142,629","6,548,697,636","223,950,840,265","5,747,383,500","221,989,216,093","241,174,630,522","314,976,991,328","82,418,820,782","82,573,184,139","59,513,056,225"
20230316000721,11011,2022,966168,263690,"87,132,488,457","39,572,577,722","126,705,066,179","48,812,705,876","4,259,143,468","53,071,849,344","5,662,805,000","56,860,387,066","73,633,216,835","110,165,018,342","16,958,688,699","17,233,824,064","14,392,794,623"
20230331001392,11011,2022,1290248,276040,"27,981,234,963","1,742,578,243","29,723,813,206","3,771,855,091","470,704,231","4,242,559,322","6,180,412,000","-46,635,745,108","25,481,253,884",,"-4,634,920,334","-4,448,448,680","-4,448,448,680"
20230316001229,11011,2022,384887,71670,"146,563,267,808","96,170,857,561","242,734,125,369","145,780,399,939","13,442,185,696","159,222,585,635","5,000,000,000","68,878,145,846","83,511,539,734","249,523,034,399","6,463,155,024","5,413,674,764","4,716,060,975"
20230320000653,11011,2022,438036,84730,"231,723,488,991","116,277,294,677","348,000,783,668","133,483,650,738","29,947,640,133","163,431,290,871","5,554,712,000","111,003,138,753","184,569,492,797","336,709,080,088","4,462,159,936","8,469,448,750","4,514,397,728"
20230321000462,11011,2022,1255652,281740,"86,395,353,501","127,114,783,295","213,510,136,796","76,900,458,193","49,827,048,155","126,727,506,348","6,573,054,800","50,185,395,720","86,782,630,448","131,506,715,480","35,391,255,844","30,082,739,473","27,159,823,504"
20230323001082,11011,2022,664181,189300,"214,268,216,964","156,108,918,555","370,377,135,519","134,703,605,469","56,969,228,583","191,672,834,052","4,591,834,500","56,692,739,657","178,704,301,467","239,465,349,593","15,342,554,581","16,802,562,536","16,029,204,390"
20230403003757,11011,2022,117337,1520,"393,101,021,243","590,449,219,555","983,550,240,798","176,610,018,139","23,408,227,322","200,018,245,461","119,855,249,500","111,231,171,366","783,531,995,337","767,681,537,593","7,924,864,990","-21,258,318,839","9,954,374,483"
20230316001227,11011,2022,1058101,214260,"49,050,396,983","47,009,789,157","96,060,186,140","44,377,903,974","7,669,333,095","52,047,237,069","4,308,708,000","12,792,902,388","44,012,949,071","23,638,746,585","-6,550,026,777","-9,099,434,241","-8,627,020,406"
20230313000487,11011,2022,1213586,332370,"50,516,379,212","7,170,035,283","57,686,414,495","6,709,057,490","180,285,550","6,889,343,040","6,636,863,000","33,195,234,107","50,797,071,455","43,111,569,109","12,372,966,273","12,899,707,489","10,375,026,000"
20230322000988,11011,2022,769158,272110,"36,757,707,672","71,338,850,176","108,096,557,848","21,148,704,915","33,165,078,617","54,313,783,532","3,972,697,500","13,132,534,240","53,782,774,316","62,314,404,181","13,286,629,491","12,065,418,530","9,954,382,736"
